region,site,date,transect,depth_m,survey_l_m,survey_w_m,species,phase,size_cm,count,a,b,size_cm_est,weight_g
Panamá,Punta STRI,2013-07-11,2,5,25,4,Sparisoma viride,IP,20 to 25,1,0.025067,2.9214,22.5,223.5467547
Panamá,Punta STRI,2013-07-11,2,5,25,4,Sparisoma viride,IP,25 to 30,1,0.025067,2.9214,27.5,401.7620328
Panamá,Punta STRI,2013-07-11,2,5,25,4,Sparisoma viride,TP,30 to 35,1,0.025067,2.9214,32.5,654.5132032
Panamá,Seagal,2013-07-09,1,10,25,4,No major corallivores,NA,NA,0,NA,NA,NA,0
Panamá,Seagal,2013-07-09,2,5,25,4,Sparisoma viride,TP,20 to 25,1,0.025067,2.9214,22.5,223.5467547
Panamá,Seagal,2013-07-09,2,5,25,4,Sparisoma viride,TP,20 to 25,1,0.025067,2.9214,22.5,223.5467547
Florida,Molasses Reef,2013-07-02,1,6.1,25,4,Scarus vetula,TP,25,1,0.01445,3.03,25,248.671534
Florida,Molasses Reef,2013-07-02,1,6.1,25,4,Scarus vetula,IP,22,1,0.01445,3.03,22,168.8140426
Florida,Molasses Reef,2013-07-02,1,6.1,25,4,Scarus vetula,IP,20,1,0.01445,3.03,20,126.4703539
Florida,Molasses Reef,2013-07-02,1,6.1,25,4,Sparisoma viride,IP,22,1,0.025067,2.9214,22,209.3418129
Florida,Molasses Reef,2013-07-02,1,6.1,25,4,Sparisoma viride,IP,22,1,0.025067,2.9214,22,209.3418129
Florida,Molasses Reef,2013-07-02,2,6.1,25,4,Scarus taeniopterus,TP,28,1,0.144378,2.3852,28,408.5661271
Florida,Molasses Reef,2013-07-02,2,6.1,25,4,Sparisoma viride,TP,35,1,0.025067,2.9214,35,812.7233656
Florida,Molasses Reef,2013-07-02,2,6.1,25,4,Sparisoma viride,IP,27,1,0.025067,2.9214,27,380.7925663
Florida,Molasses Reef,2013-07-02,2,6.1,25,4,Sparisoma viride,IP,17,1,0.025067,2.9214,17,98.56797625
Florida,Molasses Reef,2013-07-02,2,6.1,25,4,Sparisoma viride,IP,25,1,0.025067,2.9214,25,304.1195242
Florida,Molasses Reef,2013-07-02,2,6.1,25,4,Sparisoma viride,IP,25,1,0.025067,2.9214,25,304.1195242
Florida,French Reef,2013-08-10,1,9,25,4,Sparisoma viride,IP,18,1,0.025067,2.9214,18,116.4810984
Florida,French Reef,2013-08-10,2,9.8,25,4,Sparisoma viride,TP,32,1,0.025067,2.9214,32,625.5290849
Florida,French Reef,2013-08-10,3,7,25,4,Scarus vetula,IP,25,1,0.01445,3.03,25,248.671534
Florida,French Reef,2013-08-10,3,7,25,4,Sparisoma viride,TP,31,1,0.025067,2.9214,31,570.1201798
Florida,French Reef,2013-08-10,4,7.8,25,4,Scarus vetula,TP,25,1,0.01445,3.03,25,248.671534
Florida,French Reef,2013-08-10,4,7.8,25,4,Sparisoma viride,IP,17,1,0.025067,2.9214,17,98.56797625
Florida,Conch Reef,2013-08-23,1,5.8,25,4,No major corallivores,NA,NA,0,NA,NA,NA,0
Florida,Conch Reef,2013-08-23,2,5.5,25,4,Sparisoma viride,TP,30,1,0.025067,2.9214,30,518.0413119
Florida,Conch Reef,2013-08-23,2,5.5,25,4,Sparisoma viride,IP,20,1,0.025067,2.9214,20,158.4642832
Florida,Conch Reef,2013-08-23,2,5.5,25,4,Sparisoma viride,TP,22,1,0.025067,2.9214,22,209.3418129
Florida,Conch Reef,2013-08-23,2,5.5,25,4,Scarus vetula,IP,20,1,0.01445,3.03,20,126.4703539
Florida,Conch Reef,2013-08-23,2,5.5,25,4,Scarus vetula,TP,25,1,0.01445,3.03,25,248.671534
Florida,Conch Reef,2013-08-23,2,5.5,25,4,Scarus vetula,IP,18,1,0.01445,3.03,18,91.90593074
Florida,Davis Reef,2013-08-23,1,6.7,25,4,Sparisoma viride,TP,25,1,0.025067,2.9214,25,304.1195242
Florida,Davis Reef,2013-08-23,1,6.7,25,4,Sparisoma viride,TP,22,1,0.025067,2.9214,22,209.3418129
Florida,Davis Reef,2013-08-23,1,6.7,25,4,Sparisoma viride,IP,18,1,0.025067,2.9214,18,116.4810984
Florida,Davis Reef,2013-08-23,1,6.7,25,4,Scarus vetula,IP,16,1,0.01445,3.03,16,64.32079366
Florida,Davis Reef,2013-08-23,1,6.7,25,4,Scarus vetula,IP,16,1,0.01445,3.03,16,64.32079366
Florida,Davis Reef,2013-08-23,2,6.7,25,4,Scarus vetula,TP,26,1,0.01445,3.03,26,280.0509766
Florida,Davis Reef,2013-08-23,2,6.7,25,4,Sparisoma viride,IP,20,1,0.025067,2.9214,20,158.4642832
Florida,Davis Reef,2013-08-23,2,6.7,25,4,Sparisoma viride,IP,20,1,0.025067,2.9214,20,158.4642832
Florida,Davis Reef,2013-08-23,2,6.7,25,4,Sparisoma viride,IP,19,1,0.025067,2.9214,19,136.4121742
Florida,Davis Reef,2013-08-23,2,6.7,25,4,Sparisoma viride,IP,18,1,0.025067,2.9214,18,116.4810984
Florida,Davis Reef,2013-08-23,2,6.7,25,4,Sparisoma viride,TP,20,1,0.025067,2.9214,20,158.4642832
Florida,Davis Reef,2013-08-23,2,6.7,25,4,Sparisoma viride,IP,16,1,0.025067,2.9214,16,82.56927634
Florida,Davis Reef,2013-08-23,3,6.1,25,4,Sparisoma viride,IP,18,1,0.025067,2.9214,18,116.4810984
Florida,Davis Reef,2013-08-23,3,6.1,25,4,Sparisoma viride,IP,16,1,0.025067,2.9214,16,82.56927634
Florida,Davis Reef,2013-08-23,3,6.1,25,4,Sparisoma viride,IP,22,1,0.025067,2.9214,22,209.3418129
Florida,Davis Reef,2013-08-23,3,6.1,25,4,Sparisoma viride,IP,21,1,0.025067,2.9214,21,182.7400791
Florida,Davis Reef,2013-08-23,3,6.1,25,4,Sparisoma viride,TP,25,1,0.025067,2.9214,25,304.1195242
St. Croix,Cane Bay,2018-07-08,1,14,16,5,Sparisoma viride,IP,18,1,0.025067,2.9214,18,116.4810984
St. Croix,Cane Bay,2018-07-08,2,14.3,18,5,Scarus taeniopterus,IP,15,1,0.144378,2.3852,15,92.19638495
St. Croix,Cane Bay,2018-07-08,3,16.2,20,5,Scarus taeniopterus,TP,26,1,0.144378,2.3852,26,342.3698015
St. Croix,Cane Bay,2018-07-08,4,15.2,20,5,No major corallivores,NA,NA,0,NA,NA,NA,0
St. Croix,Cane Bay,2018-07-08,5,14,17,5,Scarus taeniopterus,TP,22,1,0.144378,2.3852,22,229.8516363
St. Croix,Cane Bay,2018-07-08,6,16.2,19,5,No major corallivores,NA,NA,0,NA,NA,NA,0
St. Croix,Cane Bay,2018-07-08,7,15.5,16,5,No major corallivores,NA,NA,0,NA,NA,NA,0
St. Croix,Cane Bay,2018-07-08,8,14.9,18,5,No major corallivores,NA,NA,0,NA,NA,NA,0
St. Croix,Cane Bay,2018-07-08,9,15.2,20,5,No major corallivores,NA,NA,0,NA,NA,NA,0
St. Croix,Cane Bay,2018-07-08,10,11.3,17,5,Scarus taeniopterus,TP,28,1,0.144378,2.3852,28,408.5661271
St. Croix,Cane Bay,2018-07-08,11,10.4,16,5,Scarus taeniopterus,TP,27,1,0.144378,2.3852,27,374.6190617
St. Croix,Cane Bay,2018-07-08,12,10.7,16,5,Sparisoma viride,TP,28,1,0.025067,2.9214,28,423.4770059
St. Croix,Cane Bay,2018-07-08,13,10.4,16,5,No major corallivores,NA,NA,0,NA,NA,NA,0
St. Croix,Cane Bay,2018-07-08,14,10.7,17,5,Sparisoma viride,TP,32,1,0.025067,2.9214,32,625.5290849
St. Croix,Cane Bay,2018-07-08,15,10.7,17,5,No major corallivores,NA,NA,0,NA,NA,NA,0
St. Croix,Cane Bay,2018-07-08,16,10.4,17,5,No major corallivores,NA,NA,0,NA,NA,NA,0
St. Croix,Cane Bay,2018-07-08,17,9.8,20,5,Scarus taeniopterus,IP,20,1,0.144378,2.3852,20,183.1124052
St. Croix,Salt River,2018-07-27,1,14.9,18,5,Scarus taeniopterus,IP,15,1,0.144378,2.3852,15,92.19638495
St. Croix,Salt River,2018-07-27,1,14.9,18,5,Scarus taeniopterus,IP,17,1,0.144378,2.3852,17,124.2704265
St. Croix,Salt River,2018-07-27,1,14.9,18,5,Scarus taeniopterus,IP,21,1,0.144378,2.3852,21,205.7114584
St. Croix,Salt River,2018-07-27,2,17.7,17,5,No major corallivores,NA,NA,0,NA,NA,NA,0
St. Croix,Salt River,2018-07-27,3,15.8,17,5,Scarus taeniopterus,TP,26,1,0.144378,2.3852,26,342.3698015
St. Croix,Salt River,2018-07-27,3,15.8,17,5,Scarus taeniopterus,IP,16,1,0.144378,2.3852,16,107.5394978
St. Croix,Salt River,2018-07-27,3,15.8,17,5,Sparisoma viride,TP,27,1,0.025067,2.9214,27,380.7925663
St. Croix,Salt River,2018-07-27,3,15.8,17,5,Scarus taeniopterus,IP,20,1,0.144378,2.3852,20,183.1124052
St. Croix,Salt River,2018-07-27,3,15.8,17,5,Sparisoma viride,TP,29,1,0.025067,2.9214,29,469.1933759
St. Croix,Salt River,2018-07-27,4,14.6,16,5,No major corallivores,NA,NA,0,NA,NA,NA,0
St. Croix,Salt River,2018-07-27,5,8.2,16,5,Scarus taeniopterus,IP,20,1,0.144378,2.3852,20,183.1124052
St. Croix,Salt River,2018-07-27,5,8.2,16,5,Scarus taeniopterus,IP,15,1,0.144378,2.3852,15,92.19638495
St. Croix,Salt River,2018-07-27,6,7.3,17,5,Scarus taeniopterus,TP,27,1,0.144378,2.3852,27,374.6190617
St. Croix,Salt River,2018-07-27,6,7.3,17,5,Sparisoma viride,IP,18,1,0.025067,2.9214,18,116.4810984
St. Croix,Salt River,2018-07-27,6,7.3,17,5,Scarus taeniopterus,IP,15,1,0.144378,2.3852,15,92.19638495
St. Croix,Salt River,2018-07-27,6,7.3,17,5,Scarus taeniopterus,IP,16,1,0.144378,2.3852,16,107.5394978
St. Croix,Salt River,2018-07-27,7,7,17,5,Scarus taeniopterus,TP,25,1,0.144378,2.3852,25,311.7938396
St. Croix,Salt River,2018-07-27,7,7,17,5,Scarus taeniopterus,IP,15,1,0.144378,2.3852,15,92.19638495
St. Croix,Salt River,2018-07-27,7,7,17,5,Scarus taeniopterus,IP,16,1,0.144378,2.3852,16,107.5394978
St. Croix,Salt River,2018-07-27,8,6.4,20,5,Scarus taeniopterus,IP,18,1,0.144378,2.3852,18,142.4219739
St. Croix,Salt River,2018-07-27,8,6.4,20,5,Scarus taeniopterus,IP,15,1,0.144378,2.3852,15,92.19638495
St. Croix,Salt River,2018-07-27,8,6.4,20,5,Scarus taeniopterus,IP,21,1,0.144378,2.3852,21,205.7114584
St. Croix,Salt River,2018-07-27,8,6.4,20,5,Scarus taeniopterus,TP,23,1,0.144378,2.3852,23,255.56081
St. Croix,Salt River,2018-07-27,8,6.4,20,5,Scarus taeniopterus,IP,15,1,0.144378,2.3852,15,92.19638495
St. Croix,Salt River,2018-07-27,8,6.4,20,5,Scarus taeniopterus,IP,18,1,0.144378,2.3852,18,142.4219739
St. Croix,Salt River,2018-07-27,9,6.1,19,5,Scarus taeniopterus,TP,26,1,0.144378,2.3852,26,342.3698015
St. Croix,Salt River,2018-07-27,9,6.1,19,5,Scarus taeniopterus,IP,18,1,0.144378,2.3852,18,142.4219739
St. Croix,Salt River,2018-07-27,9,6.1,19,5,Scarus taeniopterus,IP,19,1,0.144378,2.3852,19,162.0257761
St. Croix,Salt River,2018-07-27,10,15.8,16,5,Scarus taeniopterus,IP,21,1,0.144378,2.3852,21,205.7114584
St. Croix,Salt River,2018-07-27,11,13.1,18,5,Scarus taeniopterus,TP,27,1,0.144378,2.3852,27,374.6190617
St. Croix,Salt River,2018-07-27,12,15.2,19,5,Scarus taeniopterus,TP,27,1,0.144378,2.3852,27,374.6190617
St. Croix,Salt River,2018-07-27,13,14.6,20,5,Scarus taeniopterus,IP,18,1,0.144378,2.3852,18,142.4219739
St. Croix,Salt River,2018-07-27,14,13.1,17,5,Scarus taeniopterus,IP,16,1,0.144378,2.3852,16,107.5394978
St. Croix,Salt River,2018-07-27,14,13.1,17,5,Scarus taeniopterus,IP,18,1,0.144378,2.3852,18,142.4219739
St. Croix,Salt River,2018-07-27,14,13.1,17,5,Scarus taeniopterus,TP,24,1,0.144378,2.3852,24,282.8660821
St. Croix,Salt River,2018-07-27,15,14,19,5,Scarus taeniopterus,IP,16,1,0.144378,2.3852,16,107.5394978
St. Croix,Salt River,2018-07-27,16,10.1,19,5,Scarus taeniopterus,IP,18,1,0.144378,2.3852,18,142.4219739
St. Croix,Salt River,2018-07-27,17,8.8,19,5,No major corallivores,NA,NA,0,NA,NA,NA,0
St. Croix,Salt River,2018-07-27,18,8.2,18,5,Sparisoma viride,TP,26,1,0.025067,2.9214,26,341.0401415
St. Croix,Salt River,2018-07-27,19,7.9,17,5,Scarus taeniopterus,IP,15,1,0.144378,2.3852,15,92.19638495
St. Croix,Salt River,2018-07-27,19,7.9,17,5,Scarus taeniopterus,IP,17,1,0.144378,2.3852,17,124.2704265
St. Croix,Northstar,2018-07-10,1,14.9,16,5,Scarus taeniopterus,IP,21,1,0.144378,2.3852,21,205.7114584
St. Croix,Northstar,2018-07-10,2,15.5,16,5,No major corallivores,NA,NA,0,NA,NA,NA,0
St. Croix,Northstar,2018-07-10,3,15.2,16,5,Scarus taeniopterus,IP,22,1,0.144378,2.3852,22,229.8516363
St. Croix,Northstar,2018-07-10,4,15.2,16,5,Scarus taeniopterus,IP,23,1,0.144378,2.3852,23,255.56081
St. Croix,Northstar,2018-07-10,5,16.2,16,5,Scarus vetula,TP,30,1,0.01445,3.03,30,432.0611815
St. Croix,Northstar,2018-07-10,6,15.2,16,5,Scarus taeniopterus,IP,18,1,0.144378,2.3852,18,142.4219739
St. Croix,Northstar,2018-07-10,6,15.2,16,5,Scarus taeniopterus,TP,25,1,0.144378,2.3852,25,311.7938396
St. Croix,Northstar,2018-07-10,7,11.6,16,5,Scarus taeniopterus,IP,22,1,0.144378,2.3852,22,229.8516363
St. Croix,Northstar,2018-07-10,7,11.6,16,5,Scarus taeniopterus,IP,24,1,0.144378,2.3852,24,282.8660821
St. Croix,Northstar,2018-07-10,8,11.9,16,5,Sparisoma viride,IP,24,1,0.025067,2.9214,24,269.9302038
St. Croix,Northstar,2018-07-10,9,11.3,19,5,Scarus taeniopterus,IP,22,1,0.144378,2.3852,22,229.8516363
St. Croix,Northstar,2018-07-10,10,11.6,18,5,Scarus taeniopterus,IP,16,1,0.144378,2.3852,16,107.5394978
St. Croix,Northstar,2018-07-10,11,11.3,16,5,Scarus vetula,IP,24,1,0.01445,3.03,24,219.7393874
St. Croix,Northstar,2018-07-10,11,11.3,16,5,Sparisoma viride,IP,27,1,0.025067,2.9214,27,380.7925663
St. Croix,Northstar,2018-07-10,12,11.6,17,5,No major corallivores,NA,NA,0,NA,NA,NA,0
St. Croix,Northstar,2018-07-10,13,13.7,19,5,Sparisoma viride,IP,25,1,0.025067,2.9214,25,304.1195242
St. Croix,Northstar,2018-07-10,13,13.7,19,5,Scarus taeniopterus,TP,23,1,0.144378,2.3852,23,255.56081
St. Croix,Northstar,2018-07-10,14,12.8,17,5,Scarus taeniopterus,TP,23,1,0.144378,2.3852,23,255.56081
St. Croix,Northstar,2018-07-10,14,12.8,17,5,Sparisoma viride,IP,27,1,0.025067,2.9214,27,380.7925663
St. Croix,Northstar,2018-07-10,15,12.5,17,5,Scarus taeniopterus,TP,23,1,0.144378,2.3852,23,255.56081
St. Croix,Northstar,2018-07-10,16,13.1,19,5,Scarus taeniopterus,IP,15,1,0.144378,2.3852,15,92.19638495
St. Croix,Northstar,2018-07-10,16,13.1,19,5,Scarus taeniopterus,IP,17,1,0.144378,2.3852,17,124.2704265
St. Croix,Northstar,2018-07-10,16,13.1,19,5,Scarus taeniopterus,IP,22,1,0.144378,2.3852,22,229.8516363
St. Croix,Northstar,2018-07-10,17,11.3,18,5,Scarus taeniopterus,IP,18,1,0.144378,2.3852,18,142.4219739
St. Croix,Northstar,2018-07-10,18,11,18,5,Scarus taeniopterus,TP,23,1,0.144378,2.3852,23,255.56081
St. Croix,Northstar,2018-07-10,18,11,18,5,Scarus taeniopterus,IP,21,1,0.144378,2.3852,21,205.7114584
St. Croix,Northstar,2018-07-10,18,11,18,5,Scarus taeniopterus,TP,24,1,0.144378,2.3852,24,282.8660821
St. Croix,Northstar,2018-07-10,18,11,18,5,Scarus taeniopterus,IP,17,1,0.144378,2.3852,17,124.2704265
St. Croix,Northstar,2018-07-10,19,9.8,16,5,Scarus taeniopterus,IP,22,1,0.144378,2.3852,22,229.8516363
St. Croix,Northstar,2018-07-10,19,9.8,16,5,Scarus vetula,TP,32,1,0.01445,3.03,32,525.3784821
St. Croix,Northstar,2018-07-10,19,9.8,16,5,Scarus taeniopterus,IP,18,1,0.144378,2.3852,18,142.4219739
St. Croix,Northstar,2018-07-10,20,9.1,16,5,Scarus taeniopterus,IP,18,1,0.144378,2.3852,18,142.4219739
St. Croix,Northstar,2018-07-10,20,9.1,16,5,Scarus taeniopterus,IP,20,1,0.144378,2.3852,20,183.1124052
St. Croix,Northstar,2018-07-10,20,9.1,16,5,Scarus taeniopterus,IP,18,1,0.144378,2.3852,18,142.4219739
St. Croix,Northstar,2018-07-10,20,9.1,16,5,Scarus taeniopterus,IP,24,1,0.144378,2.3852,24,282.8660821
St. Croix,Northstar,2018-07-10,20,9.1,16,5,Scarus vetula,IP,17,1,0.01445,3.03,17,77.29084919
St. Croix,Northstar,2018-07-10,21,9.1,16,5,Scarus taeniopterus,IP,15,1,0.144378,2.3852,15,92.19638495
St. Croix,Northstar,2018-07-10,21,9.1,16,5,Scarus taeniopterus,IP,22,1,0.144378,2.3852,22,229.8516363
St. Croix,Northstar,2018-07-10,21,9.1,16,5,Scarus taeniopterus,TP,24,1,0.144378,2.3852,24,282.8660821
St. Croix,Northstar,2018-07-10,22,8.5,18,5,Scarus taeniopterus,IP,15,1,0.144378,2.3852,15,92.19638495
St. Croix,Northstar,2018-07-10,22,8.5,18,5,Scarus taeniopterus,IP,17,1,0.144378,2.3852,17,124.2704265
St. Croix,Northstar,2018-07-10,22,8.5,18,5,Scarus taeniopterus,TP,22,1,0.144378,2.3852,22,229.8516363
St. Croix,Northstar,2018-07-10,22,8.5,18,5,Scarus taeniopterus,IP,19,1,0.144378,2.3852,19,162.0257761
St. Croix,Northstar,2018-07-10,22,8.5,18,5,Scarus taeniopterus,IP,20,1,0.144378,2.3852,20,183.1124052
St. Croix,Northstar,2018-07-10,22,8.5,18,5,Scarus taeniopterus,IP,21,1,0.144378,2.3852,21,205.7114584
St. Croix,Northstar,2018-07-10,23,8.8,17,5,Scarus taeniopterus,TP,23,1,0.144378,2.3852,23,255.56081
St. Croix,Northstar,2018-07-10,24,9.1,18,5,Scarus taeniopterus,TP,23,1,0.144378,2.3852,23,255.56081
St. Croix,Northstar,2018-07-10,24,9.1,18,5,Scarus taeniopterus,IP,21,1,0.144378,2.3852,21,205.7114584
St. Croix,Northstar,2018-07-10,25,9.1,17,5,Scarus taeniopterus,IP,19,1,0.144378,2.3852,19,162.0257761
St. Croix,Northstar,2018-07-10,25,9.1,17,5,Scarus taeniopterus,TP,22,1,0.144378,2.3852,22,229.8516363
St. Croix,Northstar,2018-07-10,25,9.1,17,5,Scarus taeniopterus,IP,19,1,0.144378,2.3852,19,162.0257761
St. Croix,Northstar,2018-07-10,26,8.5,19,5,Sparisoma viride,IP,16,1,0.025067,2.9214,16,82.56927634
St. Croix,Northstar,2018-07-10,26,8.5,19,5,Sparisoma viride,IP,20,1,0.025067,2.9214,20,158.4642832
St. Croix,Northstar,2018-07-10,26,8.5,19,5,Sparisoma viride,IP,22,1,0.025067,2.9214,22,209.3418129
St. Croix,Northstar,2018-07-10,26,8.5,19,5,Sparisoma viride,IP,23,1,0.025067,2.9214,23,238.3713528
St. Croix,Northstar,2018-07-10,26,8.5,19,5,Sparisoma viride,IP,23,1,0.025067,2.9214,23,238.3713528
St. Croix,Northstar,2018-07-10,26,8.5,19,5,Scarus vetula,IP,22,1,0.01445,3.03,22,168.8140426
St. Croix,Northstar,2018-07-10,27,8.2,16,5,Scarus vetula,TP,29,1,0.01445,3.03,29,389.8825346
St. Croix,Northstar,2018-07-10,27,8.2,16,5,Sparisoma viride,TP,30,1,0.025067,2.9214,30,518.0413119
St. Croix,Northstar,2018-07-10,27,8.2,16,5,Scarus taeniopterus,IP,18,1,0.144378,2.3852,18,142.4219739
St. Croix,Teague Bay,2018-07-11,1,9.1,20,5,Sparisoma viride,IP,18,1,0.025067,2.9214,18,116.4810984
St. Croix,Teague Bay,2018-07-11,1,9.1,20,5,Scarus vetula,IP,23,1,0.01445,3.03,23,193.1537705
St. Croix,Teague Bay,2018-07-11,2,10.1,20,5,No major corallivores,NA,NA,0,NA,NA,NA,0
St. Croix,Teague Bay,2018-07-11,3,8.5,20,5,No major corallivores,NA,NA,0,NA,NA,NA,0
St. Croix,Teague Bay,2018-07-11,4,11,20,5,No major corallivores,NA,NA,0,NA,NA,NA,0
St. Croix,Teague Bay,2018-07-11,5,7.3,16,5,Scarus vetula,IP,24,1,0.01445,3.03,24,219.7393874
St. Croix,Teague Bay,2018-07-11,6,5.2,20,5,Sparisoma viride,IP,20,1,0.025067,2.9214,20,158.4642832
St. Croix,Teague Bay,2018-07-11,7,5.2,18,5,Sparisoma viride,IP,17,1,0.025067,2.9214,17,98.56797625
St. Croix,Teague Bay,2018-07-11,7,5.2,18,5,Sparisoma viride,IP,20,1,0.025067,2.9214,20,158.4642832
St. Croix,Teague Bay,2018-07-11,7,5.2,18,5,Sparisoma viride,IP,22,1,0.025067,2.9214,22,209.3418129
St. Croix,Teague Bay,2018-07-11,8,5.5,20,5,Sparisoma viride,IP,15,1,0.025067,2.9214,15,68.38098703
St. Croix,Teague Bay,2018-07-11,9,5.8,17,5,No major corallivores,NA,NA,0,NA,NA,NA,0
St. Croix,Teague Bay,2018-07-11,10,4.6,18,5,No major corallivores,NA,NA,0,NA,NA,NA,0
St. Croix,Teague Bay,2018-07-11,11,5.2,16,5,No major corallivores,NA,NA,0,NA,NA,NA,0
St. Croix,Teague Bay,2018-07-11,12,5.2,17,5,Sparisoma viride,IP,18,1,0.025067,2.9214,18,116.4810984
St. Croix,Teague Bay,2018-07-11,12,5.2,17,5,Scarus vetula,IP,15,1,0.01445,3.03,15,52.89618637
St. Croix,Teague Bay,2018-07-11,13,6.4,18,5,No major corallivores,NA,NA,0,NA,NA,NA,0
St. Croix,Teague Bay,2018-07-11,14,5.8,19,5,Sparisoma viride,IP,24,1,0.025067,2.9214,24,269.9302038
St. Croix,Teague Bay,2018-07-11,14,5.8,19,5,Scarus vetula,IP,20,1,0.01445,3.03,20,126.4703539
St. Croix,Teague Bay,2018-07-11,15,5.2,19,5,Sparisoma viride,TP,22,1,0.025067,2.9214,22,209.3418129
St. Croix,Teague Bay,2018-07-11,15,5.2,19,5,Scarus taeniopterus,TP,23,1,0.144378,2.3852,23,255.56081
St. Croix,Teague Bay,2018-07-11,16,8.8,20,5,Scarus taeniopterus,IP,24,1,0.144378,2.3852,24,282.8660821
St. Croix,Teague Bay,2018-07-11,17,7.3,19,5,No major corallivores,NA,NA,0,NA,NA,NA,0
St. Croix,Teague Bay,2018-07-11,18,7,20,5,No major corallivores,NA,NA,0,NA,NA,NA,0
St. Croix,Teague Bay,2018-07-11,19,6.4,19,5,No major corallivores,NA,NA,0,NA,NA,NA,0
St. Croix,Teague Bay,2018-07-11,20,7,19,5,No major corallivores,NA,NA,0,NA,NA,NA,0
St. Croix,Teague Bay,2018-07-11,21,6.7,18,5,Scarus taeniopterus,TP,25,1,0.144378,2.3852,25,311.7938396
St. Croix,Teague Bay,2018-07-11,22,5.2,17,5,Scarus vetula,IP,15,1,0.01445,3.03,15,52.89618637
St. Croix,Teague Bay,2018-07-11,23,4.6,17,5,No major corallivores,NA,NA,0,NA,NA,NA,0
St. Croix,Teague Bay,2018-07-11,24,5.5,19,5,No major corallivores,NA,NA,0,NA,NA,NA,0
St. Croix,Teague Bay,2018-07-11,25,5.5,19,5,Sparisoma viride,IP,16,1,0.025067,2.9214,16,82.56927634
St. Croix,BIRNM S. Forereef,2018-07-12,1,6.4,16,5,Scarus vetula,TP,28,1,0.01445,3.03,28,350.5554167
St. Croix,BIRNM S. Forereef,2018-07-12,1,6.4,16,5,Scarus vetula,IP,23,1,0.01445,3.03,23,193.1537705
St. Croix,BIRNM S. Forereef,2018-07-12,2,7.6,18,5,Sparisoma viride,TP,20,1,0.025067,2.9214,20,158.4642832
St. Croix,BIRNM S. Forereef,2018-07-12,3,8.5,18,5,Sparisoma viride,TP,24,1,0.025067,2.9214,24,269.9302038
St. Croix,BIRNM S. Forereef,2018-07-12,3,8.5,18,5,Sparisoma viride,TP,26,1,0.025067,2.9214,26,341.0401415
St. Croix,BIRNM S. Forereef,2018-07-12,3,8.5,18,5,Sparisoma viride,TP,31,1,0.025067,2.9214,31,570.1201798
